|   num of transactions |      timeBF |     timeApr |
|-----------------------|-------------|-------------|
|                       |             |             |
|                     1 | 0.000936435 | 0.000638838 |
|                     2 | 0.000632669 | 0.000603807 |
|                     3 | 0.000782716 | 0.000624358 |
|                     4 | 0.00118952  | 0.000728594 |
|                     5 | 0.00112014  | 0.000662818 |
|                     6 | 0.00123773  | 0.00069886  |
|                     7 | 0.00138079  | 0.000609938 |
|                     8 | 0.00183801  | 0.000680239 |
|                     9 | 0.00167648  | 0.000687508 |
|                    10 | 0.00184165  | 0.000657743 |
|                    11 | 0.00211195  | 0.000810554 |
|                    12 | 0.00211697  | 0.000707682 |
|                    13 | 0.00228983  | 0.000687671 |
|                    14 | 0.00257177  | 0.000830048 |
|                    15 | 0.00256593  | 0.000699517 |
|                    16 | 0.00269489  | 0.000880617 |
|                    17 | 0.00279864  | 0.000808597 |
|                    18 | 0.00287986  | 0.000702197 |
|                    19 | 0.00327982  | 0.000744908 |
|                    20 | 0.00329162  | 0.000776517 |
|                    21 | 0.00322353  | 0.000752076 |
|                    22 | 0.00319174  | 0.000674104 |
|                    23 | 0.0034709   | 0.00079086  |
|                    24 | 0.00353923  | 0.000937337 |
|                    25 | 0.00389455  | 0.000739121 |
|                    26 | 0.00398617  | 0.000749759 |
|                    27 | 0.00386258  | 0.000792823 |
|                    28 | 0.00419928  | 0.000795203 |
|                    29 | 0.00423615  | 0.00078831  |
|                    30 | 0.0044505   | 0.000808052 |
|                    31 | 0.00463097  | 0.000835992 |
|                    32 | 0.00462377  | 0.000800486 |
|                    33 | 0.00496535  | 0.000930861 |
|                    34 | 0.00504739  | 0.000910815 |
|                    35 | 0.00566524  | 0.00103428  |
|                    36 | 0.00552744  | 0.00104934  |
|                    37 | 0.00641552  | 0.00108676  |
|                    38 | 0.00612168  | 0.000938283 |
|                    39 | 0.00612067  | 0.000932932 |
|                    40 | 0.00577549  | 0.000935226 |
|                    41 | 0.00608228  | 0.00111823  |
|                    42 | 0.00636034  | 0.0010385   |
|                    43 | 0.00666106  | 0.000926827 |
|                    44 | 0.00638091  | 0.00116082  |
|                    45 | 0.00640629  | 0.00134506  |
|                    46 | 0.00697567  | 0.00104354  |
|                    47 | 0.00679741  | 0.00111043  |
|                    48 | 0.00704689  | 0.00103724  |
|                    49 | 0.00709396  | 0.00107823  |
|                    50 | 0.00708493  | 0.00111593  |
|                    51 | 0.0072313   | 0.00152317  |
|                    52 | 0.00747027  | 0.00140015  |
|                    53 | 0.0075768   | 0.00118563  |
|                    54 | 0.0079254   | 0.00109212  |
|                    55 | 0.00777952  | 0.0012494   |
|                    56 | 0.00821748  | 0.00113779  |
|                    57 | 0.00852243  | 0.00135364  |
|                    58 | 0.00933075  | 0.00131899  |
|                    59 | 0.00943304  | 0.00130708  |
|                    60 | 0.0103421   | 0.00135629  |
|                    61 | 0.00979925  | 0.00168857  |
|                    62 | 0.00984981  | 0.00126968  |
|                    63 | 0.00905366  | 0.00125088  |
|                    64 | 0.0089448   | 0.00151699  |
|                    65 | 0.00948601  | 0.00131248  |
|                    66 | 0.00944183  | 0.00130496  |
|                    67 | 0.00960105  | 0.00122631  |
|                    68 | 0.00978841  | 0.00140135  |
|                    69 | 0.00966736  | 0.00127106  |
|                    70 | 0.0100845   | 0.00121007  |
|                    71 | 0.010375    | 0.00125811  |
|                    72 | 0.0111464   | 0.00142967  |
|                    73 | 0.0116804   | 0.00174576  |
|                    74 | 0.0119066   | 0.00173554  |
|                    75 | 0.0119592   | 0.00130488  |
|                    76 | 0.0110996   | 0.00142589  |
|                    77 | 0.0113055   | 0.00134989  |
|                    78 | 0.0107431   | 0.00135616  |
|                    79 | 0.0112293   | 0.00136545  |
|                    80 | 0.0113731   | 0.00133612  |
|                    81 | 0.0112185   | 0.00134527  |
|                    82 | 0.0116329   | 0.00134333  |
|                    83 | 0.0117338   | 0.00140916  |
|                    84 | 0.0120347   | 0.00172112  |
|                    85 | 0.0121643   | 0.00141073  |
|                    86 | 0.0123328   | 0.00144181  |
|                    87 | 0.0122846   | 0.00157674  |
|                    88 | 0.0132369   | 0.00145142  |
|                    89 | 0.0129315   | 0.00141042  |
|                    90 | 0.0136961   | 0.00162913  |
|                    91 | 0.0142656   | 0.00157826  |
|                    92 | 0.0134783   | 0.00150684  |
|                    93 | 0.013158    | 0.0015092   |
|                    94 | 0.0133523   | 0.00150604  |
|                    95 | 0.0134307   | 0.00147789  |
|                    96 | 0.0134706   | 0.00148549  |
|                    97 | 0.0134443   | 0.00162041  |
|                    98 | 0.0137005   | 0.00156494  |
|                    99 | 0.0139348   | 0.00149622  |
|                   100 | 0.0140478   | 0.00154225  |
